Z,INHD
-9.733650,8.000000
-9.690350,8.000000
-10.312950,8.000000
-11.122350,7.000000
-11.056450,8.000000
-11.889800,7.000000
-13.215401,7.000000
-13.623800,7.000000
-15.470701,7.000000
-16.987050,7.000000
-20.539950,5.000000
-20.510149,6.000000
-24.137250,3.000000
-25.228149,3.000000
-25.613953,1.000000
-27.844025,1.000000
-26.484434,0.000000
-28.484501,0.000000
-26.200501,0.000000
-28.208200,0.000000
-26.525999,0.000000
-28.481001,0.000000
-11.084050,8.000000
-11.087350,8.000000
-12.981949,8.000000
-14.500251,7.000000
-17.692550,6.000000
-21.575400,5.000000
-24.075400,4.000000
-27.166705,2.000000
-29.743830,0.000000
-30.270650,0.000000
-30.436001,0.000000
-11.944100,8.000000
-11.620350,8.000000
-12.685300,7.000000
-14.632901,7.000000
-17.777250,6.000000
-20.639650,5.000000
-24.856901,4.000000
-28.815215,2.000000
-31.849045,0.000000
-31.993401,0.000000
-31.683251,0.000000
-12.833351,8.000000
-11.046900,9.000000
-10.401800,9.000000
-11.737400,9.000000
-15.393800,9.000000
-22.276249,6.000000
-28.377454,2.000000
-31.755730,1.000000
-34.188999,0.000000
-33.885049,0.000000
-34.166601,0.000000
-13.479100,7.000000
-12.402250,8.000000
-11.009500,9.000000
-12.533401,9.000000
-19.241000,6.000000
-25.293700,4.000000
-31.296290,2.000000
-34.800873,0.000000
-36.297501,0.000000
-35.924101,0.000000
-36.307499,0.000000
-13.215449,8.000000
-13.588800,8.000000
-14.753751,9.000000
-16.506751,10.000000
-23.264800,8.000000
-31.459599,5.000000
-35.546552,3.000000
-37.651421,0.000000
-38.006500,0.000000
-37.765351,0.000000
-38.020500,0.000000
-14.413899,8.000000
-13.950601,8.000000
-17.208800,10.000000
-21.195850,11.000000
-27.344499,11.000000
-31.584950,9.000000
-36.344901,4.000000
-38.282019,0.000000
-38.339001,0.000000
-38.329250,0.000000
-38.338501,0.000000
-14.364100,8.000000
-15.344951,9.000000
-19.777800,10.000000
-24.221451,10.000000
-28.929349,8.000000
-33.760150,6.000000
-36.561400,3.000000
-38.300768,0.000000
-38.424000,0.000000
-38.414998,0.000000
-38.424000,0.000000
-13.734749,8.000000
-16.212650,9.000000
-19.757950,9.000000
-26.014051,8.000000
-30.592300,7.000000
-34.377151,4.000000
-37.157591,2.000000
-38.260261,0.000000
-38.415861,0.000000
-38.494250,0.000000
-38.509999,0.000000
-14.312949,8.000000
-14.665550,9.000000
-20.014249,9.000000
-23.703549,10.000000
-29.965702,7.000000
-34.169900,4.000000
-36.439820,2.000000
-38.229904,0.000000
-38.528166,0.000000
-38.573902,0.000000
-38.621449,0.000000
-14.033000,8.000000
-14.067750,8.000000
-18.100299,8.000000
-24.332900,7.000000
-29.129100,5.000000
-33.202700,3.000000
-36.295203,1.000000
-37.889930,0.000000
-38.473470,0.000000
-38.663598,0.000000
-38.674300,0.000000
-13.712450,7.000000
-14.508650,8.000000
-16.249901,8.000000
-20.105050,9.000000
-25.858651,7.000000
-32.576050,3.000000
-35.769456,2.000000
-38.269277,0.000000
-38.764999,0.000000
-38.749251,0.000000
-38.763500,0.000000
-13.554501,8.000000
-13.786250,8.000000
-16.076400,8.000000
-18.995599,8.000000
-23.571851,7.000000
-30.426449,4.000000
-36.798375,1.000000
-38.446610,0.000000
-38.851002,0.000000
-38.840950,0.000000
-38.851002,0.000000
