FeatureID,X,Y,Elevation,Zone,Start_Time[day],Stop_Time[day],Rate[mm/yr],group,order
0,292182.1341,9105647.632,7.9017,7,0.00E+00,3.65E+02,2.70E+02,group,1
1,292278.2603,9105620.068,8.2603,7,0.00E+00,3.65E+02,2.70E+02,group,2
2,292374.3864,9105592.505,7.8561,7,0.00E+00,3.65E+02,2.70E+02,group,3
3,292470.5126,9105564.941,7.4142,7,0.00E+00,3.65E+02,2.70E+02,group,4
4,292566.6388,9105537.377,7.1246,7,0.00E+00,3.65E+02,2.70E+02,group,5
5,292662.7649,9105509.814,5.2422,7,0.00E+00,3.65E+02,2.70E+02,group,6
6,292758.8911,9105482.25,2.8419,7,0.00E+00,3.65E+02,2.70E+02,group,7
7,292855.0173,9105454.686,1.1528,7,0.00E+00,3.65E+02,2.70E+02,group,8
8,292951.1434,9105427.122,0.27957,21,0.00E+00,3.65E+02,9.00E+01,group,9
9,293047.2696,9105399.559,0,1,0.00E+00,3.65E+02,0.00E+00,group,10
10,293143.3958,9105371.995,0,1,0.00E+00,3.65E+02,0.00E+00,group,11
11,292154.5703,9105551.506,7.7481,7,0.00E+00,3.65E+02,2.70E+02,group,44
21,293115.832,9105275.869,0,1,0.00E+00,3.65E+02,0.00E+00,group,12
22,292127.0066,9105455.38,7.6969,7,0.00E+00,3.65E+02,2.70E+02,group,43
32,293088.2683,9105179.743,0,1,0.00E+00,3.65E+02,0.00E+00,group,13
33,292099.4429,9105359.254,7.9998,7,0.00E+00,3.65E+02,2.70E+02,group,42
43,293060.7046,9105083.616,0,1,0.00E+00,3.65E+02,0.00E+00,group,14
44,292071.8791,9105263.128,8.0663,7,0.00E+00,3.65E+02,2.70E+02,group,41
54,293033.1408,9104987.49,0,1,0.00E+00,3.65E+02,0.00E+00,group,15
55,292044.3154,9105167.001,7.2788,7,0.00E+00,3.65E+02,2.70E+02,group,40
65,293005.5771,9104891.364,0,1,0.00E+00,3.65E+02,0.00E+00,group,16
66,292016.7517,9105070.875,7.7801,7,0.00E+00,3.65E+02,2.70E+02,group,39
76,292978.0134,9104795.238,0,1,0.00E+00,3.65E+02,0.00E+00,group,17
77,291989.1879,9104974.749,8.1612,7,0.00E+00,3.65E+02,2.70E+02,group,38
87,292950.4496,9104699.112,0,1,0.00E+00,3.65E+02,0.00E+00,group,18
88,291961.6242,9104878.623,7.7598,7,0.00E+00,3.65E+02,2.70E+02,group,37
98,292922.8859,9104602.985,0,1,0.00E+00,3.65E+02,0.00E+00,group,19
99,291934.0605,9104782.497,8.1305,35,0.00E+00,3.65E+02,2.60E+02,group,36
109,292895.3222,9104506.859,0,1,0.00E+00,3.65E+02,0.00E+00,group,20
110,291906.4967,9104686.371,7.8421,14,0.00E+00,3.65E+02,7.00E+01,group,35
120,292867.7584,9104410.733,0,1,0.00E+00,3.65E+02,0.00E+00,group,21
121,291878.933,9104590.244,7.526,31,0.00E+00,3.65E+02,2.30E+02,group,34
132,291851.3693,9104494.118,7.4781,7,0.00E+00,3.65E+02,2.70E+02,group,33
143,291823.8055,9104397.992,8.132,7,0.00E+00,3.65E+02,2.70E+02,group,32
144,291919.9317,9104370.428,8.0385,7,0.00E+00,3.65E+02,2.70E+02,group,31
145,292016.0579,9104342.865,8.2492,7,0.00E+00,3.65E+02,2.70E+02,group,30
146,292112.184,9104315.301,7.8168,7,0.00E+00,3.65E+02,2.70E+02,group,29
147,292208.3102,9104287.737,6.7913,7,0.00E+00,3.65E+02,2.70E+02,group,28
148,292304.4364,9104260.173,4.0661,7,0.00E+00,3.65E+02,2.70E+02,group,27
149,292400.5625,9104232.61,0.62725,7,0.00E+00,3.65E+02,2.70E+02,group,26
150,292496.6887,9104205.046,0.022785,11,0.00E+00,3.65E+02,1.40E+02,group,25
151,292592.8149,9104177.482,0,1,0.00E+00,3.65E+02,0.00E+00,group,24
152,292688.941,9104149.918,0,1,0.00E+00,3.65E+02,0.00E+00,group,23
153,292785.0672,9104122.355,0,1,0.00E+00,3.65E+02,0.00E+00,group,22
